133-0014-CH-0.75IN-33030L-H-PS,9794.569,8453.949,100.766,133-TG-6956
133-0108-LS-0.75IN-11055-N-PS,9807.022,8447.297,100.999,P41-A1
133-0107-LS-0.75IN-11055-N-PS,9806.526,8447.597,100.999,P41-A1
133-0108-LS-0.75IN-11055-N-PS,9807.022,8447.447,101.114,133-NSPS-028
133-0107-LS-0.75IN-11055-N-PS,9806.526,8447.447,101.114,133-NSPS-028
133-0110-LS-0.75IN-11055-N-PS,9806.836,8447.066,100.849,SB3-3/4
133-0107-LS-0.75IN-11055-N-PS,9807.38,8447.291,100.734,SB3-3/4
133-0024-SDM-2IN-11055-N-PS,9792.161,8452.924,100.273,P41-A3
133-0115-SDM-0.75IN-31055-PG-PS,9795.093,8454.47,100.523,SB3-3/4
133-0115-SDM-0.75IN-31055-PG-PS,9793.433,8454.699,100.484,UG-3/4
133-0115-SDM-0.75IN-31055-PG-PS,9792.702,8453.688,100.443,UG-3/4
133-0115-SDM-0.75IN-31055-PG-PS,9792.702,8454.824,100.443,UG-3/4
133-0006-N2-2IN-11010-N-PS,9800.013,8461.5,112.5,HG2-B
133-0017-N2-2IN-11010-N-PS,9799.893,8461.5,112.42,P9-C5
133-0006-N2-2IN-11010-N-PS,9799.384,8457.22,108.596,P22-B2
133-0006-N2-2IN-11010-N-PS,9796.903,8457.22,108.596,P22-B2
133-0051-OD-2IN-11010-N-PS,9805.644,8450.43,100.347,SUPPORT
133-0041-LS-0.75IN-11055-N-PS,9798.79,8453.508,101.897,GSW1
133-0037-LS-1IN-11055-N-PS,9792.735,8453.688,100.838,SB3-1
133-0037-LS-1IN-11055-N-PS,9792.735,8454.824,100.838,SB3-1
133-0076-SDM-2IN-11055-N-PS,9802.832,8451.81,100.434,SB3-2
133-0076-SDM-2IN-11055-N-PS,9804.214,8451.874,100.434,SB3-2
133-0006-SCL-2IN-11030-PG-PS,9796.399,8458,105.3,HG2-B
133-0006-SCL-2IN-11030-PG-PS,9796.362,8448.114,103.22,UG-2
133-0051-OD-2IN-11010-N-PS,9804.396,8451.073,100.347,SUPPORT
133-0039-LS-0.5IN-11055-N-PS,9796.952,8453.348,101.225,SP-1250$SC-005
133-0003-FGL-2IN-11377-S-PS,9793.9,8468.53,112.221,HG1-A
133-0003-FGL-2IN-11377-S-PS,9793.9,8468.53,116.972,HG1-A
133-0003-FGL-2IN-11377-S-PS,9794.18,8468.465,112.221,VG2-2
133-0003-FGL-2IN-11377-S-PS,9794.18,8468.465,116.972,VG2-2
133-0077-SDM-0.5IN-11055-N-PS,9796.952,8453.347,101.5,SP-1250$SC-005
133-0036-LS-0.5IN-11055-N-PS,9791.61,8453.5,101,SP-1251$SC-004
133-0037-LS-0.5IN-11055-N-PS,9791.611,8453.5,101.5,SP-1251$SC-004
133-0063-N2-2IN-11010-N-PS,9791.259,8446.903,105.865,SB10-2
133-0056-STL-2IN-11010-H-PS,9790.759,8446.663,105.865,SB10-2
133-0063-N2-2IN-11010-N-PS,9791.377,8445.189,111.035,P61-A5
133-0056-STL-2IN-11010-H-PS,9790.279,8449.36,102.52,P41-E4
133-0056-STL-2IN-11010-H-PS,9793.705,8450.714,102.52,P41-E4
133-0056-STL-2IN-11010-H-PS,9799.395,8456.683,102.52,P41-E4
133-0047-PA-2IN-18010-N-PS,9791.009,8446.783,105.865,SB10-2
133-0047-UW-2IN-18100-N-PS,9790.509,8446.553,105.865,SB10-2
133-0003-FGL-2IN-11377-S-PS,9793.63,8465.677,108.82,P8-C2
133-0003-FGL-2IN-11377-S-PS,9793.9,8468.63,117.9,PLATPENEL.117
133-0003-FGL-2IN-11377-S-PS,9793.9,8468.6,116.972,S503-2
